State,General_public
Alabama,04/05/2021
Alaska,03/09/2021
Arizona,03/24/2021
Arkansas,03/30/2021
California,04/15/2021
Colorado,04/02/2021
Connecticut,04/01/2021
Delaware,04/06/2021
Florida,04/05/2021
Georgia,03/25/2021
Hawaii,05/01/2021
Idaho,04/05/2021
Illinois,04/12/2021
Indiana,03/31/2021
Iowa,04/05/2021
Kansas,03/29/2021
Kentucky,04/12/2021
Louisiana,03/29/2021
Maine,04/07/2021
Maryland,04/06/2021
Massachusetts,04/19/2021
Michigan,04/05/2021
Minnesota,03/30/2021
Mississippi,03/16/2021
Missouri,04/09/2021
Montana,04/01/2021
Nebraska,05/01/2021
Nevada,04/05/2021
New Hampshire,04/02/2021
New Jersey,05/01/2021
New Mexico,04/01/2021
New York,04/06/2021
North Carolina,04/07/2021
North Dakota,03/29/2021
Ohio,03/29/2021
Oklahoma,03/29/2021
Oregon,05/01/2021
Pennsylvania,04/19/2021
Rhode Island,04/19/2021
South Carolina,03/31/2021
South Dakota,05/01/2021
Tennessee,04/05/2021
Texas,03/29/2021
Utah,03/24/2021
Vermont,04/19/2021
Virginia,04/18/2021
Washington,04/15/2021
West Virginia,03/22/2021
Wisconsin,04/05/2021
Wyoming,04/01/2021